"","palabra"
"1315","in"
"1316","is"
"1317","Pythagora"
"1318","greek.expression"
"1319","se"
"1320","et"
"1321","et"
"1322","itaque"
"1323","cum"
"1324","Socrates"
"1325","unice"
"1326","diligo"
"1327","eiquo"
"1328","tribuo"
"1329","greek.expression"
"1330","que"
"1331","cum"
"1332","Pythagora"
"1333","et"
"1334","cum"
"1335","hic"
"1336","Scipius"
"1337","cum"
"1338","greek.expression"
"1339","greek.expression"
"1340","Furius"
"1341","repente"
"1342","venio"
"1343","greek.expression"
"1344","is"
"1345","que"
"1346","ut"
"1347","greek.expression"
"1348","amix"
"1349","appr(eh)endo"
"1350","et"
"1351","in"
"1352","et"
"1353","cum"
"1354","simul"
"1355","P."
"1356","Rutilius"
"1357","greek.expression"
"1358","qui"
"1359","sum"
"1360","nos"
"1361","hic"
"1362","greek.expression"
"1363","is"
"1364","quoque"
"1365","ut"
"1366","greek.expression"
"1367","propter"
"1368","Tubero"
"1369","iubeo"
"1370","adsidere."
"1371","tum"
"1372","quis"
"1373","vos"
"1374","num"
"1375","diremo"
"1376","parum"
"1377","greek.expression"
"1378","soleo"
"1379","enim"
"1380","tu"
"1381","studiose"
"1382","greek.expression"
"1383","qui"
"1384","sum"
"1385","in"
"1386","greek.expression"
"1387","de"
"1388","qui"
"1389","instituo"
"1390","paulo"
"1391","ante"
"1392","Rutilius"
"1393","quidem"
"1394","etiam"
"1395","sub"
"1396","ipse"
"1397","soleo"
"1398","ego"
"1399","cum"
"1400","interdum"
"1401","is"
"1402","qui"
"1403","tandem"
"1404","inquam"
"1405","Philus."
"1406","tum"
"1407","de"
"1408","iste"
"1409","de"
"1410","qui"
"1411","greek.expression"
"1412","greek.expression"
"1413","ex"
"1414","tu"
"1415","audio"
"1416","quis"
"1417","greek.expression"
"1418","dico"
"1419","greek.expression"
"1420","cum"
"1421","nuntio"
"1422","venio"
"1423","ad"
"1424","is"
"1425","Laelius"
"1426","domoque"
"1427","iam"
"1428","exisse."
"1429","tum"
"1430","Scipio"
"1431","et"
"1432","sumo"
"1433","ex"
"1434","sum"
"1435","greek.expression"
"1436","et"
"1437","cum"
"1438","paul(l)ulum"
"1439","inambulavo"
"1440","in"
"1441","greek.expression"
"1442","Laelius"
"1443","advenio"
"1444","saluto"
"1445","et"
"1446","greek.expression"
"1447","qui"
"1448","unus"
"1449","greek.expression"
"1450","Spurius"
"1451","greek.expression"
"1452","qui"
"1453","in"
"1454","greek.expression"
"1455","et"
"1456","greek.expression"
"1457","Fannius"
"1458","et"
"1459","Quintus"
"1460","greek.expression"
"1461","greek.expression"
"1462","doco"
"1463","greek.expression"
"1464","iam"
"1465","qui"
"1466","cum"
"1467","omnis"
"1468","greek.expression"
"1469","converto"
"1470","se"
"1471","in"
"1472","et"
"1473","conicio"
"1474","in"
"1475","sum"
"1476","enim"
"1477","in"
"1478","quasi"
"1479","quidam"
"1480","inter"
"1481","greek.expression"
"1482","ut"
"1483","propter"
"1484","Africanus"
"1485","ut"
"1486","colo"
"1487","greek.expression"
"1488","domi"
"1489","vicissum"
"1490","greek.expression"
"1491","quod"
"1492","greek.expression"
"1493","observo"
"1494","in"
"1495","Scipio."
"1496","deinde"
"1497","cum"
"1498","sum"
"1499","inter"
"1500","se"
"1501","unus"
"1502","aut"
"1503","colloquor"
"1504","is"
"1505","et"
"1506","pergratus"
"1507","greek.expression"
"1508","greek.expression"
"1509","ut"
"1510","in"
"1511","magis"
"1512","pratulus"
"1513","greek.expression"
"1514","qui"
"1515","sum"
"1516","greek.expression"
"1517","qui"
"1518","cum"
"1519","facio"
"1520","greek.expression"
"1521","interveno"
"1522","que"
"1523","et"
"1524","et"
"1525","greek.expression"
"1526","greek.expression"
"1527","greek.expression"
"1528","qui"
"1529","ab"
"1530","Scipio"
"1531","que"
"1532","amice"
"1533","consaluto"
"1534","adsedo"
"1535","greek.expression"
"1536","tum"
"1537","non"
"1538","ego"
"1539","greek.expression"
"1540","greek.expression"
"1541","qui"
"1542","greek.expression"
"1543","alius"
"1544","nos"
"1545","sum"
"1546","greek.expression"
"1547","sed"
"1548","ago"
"1549","accurate"
"1550","et"
"1551","dico"
"1552","hic"
"1553","quis"
"1554","tandem"
"1555","greek.expression"
"1556","aut"
"1557","qui"
"1558","nos"
"1559","Ain"
"1560","greek.expression"
"1561","iam"
"1562","exploro"
"1563","nos"
"1564","sum"
"1565","greek.expression"
"1566","qui"
"1567","ad"
"1568","qui"
"1569","que"
"1570","ad"
"1571","greek.expression"
"1572","quis"
"1573","ago"
"1574","in"
"1575","greek.expression"
"1576","greek.expression"
"1577","et"
"1578","an"
"1579","tu"
"1580","ad"
"1581","non"
"1582","censeo"
"1583","pertineo"
"1584","greek.expression"
"1585","quis"
"1586","ago"
"1587","et"
"1588","quis"
"1589","fio"
"1590","qui"
"1591","non"
"1592","is"
"1593","greek.expression"
"1594","qui"
"1595","greek.expression"
"1596","sed"
"1597","hic"
"1598","greek.expression"
"1599","quod"
"1600","quamque"
"1601","nos"
"1602","se"
"1603","cum"
"1604","greek.expression"
"1605","cum"
"1606","greek.expression"
"1607","si"
"1608","greek.expression"
"1609","nos"
"1610","et"
"1611","ignoro"
"1612","sint."
"1613","atque"
"1614","ego"
"1615","greek.expression"
"1616","ut"
"1617","hercle"
"1618","etiam"
"1619","tu"
"1620","greek.expression"
"1621","greek.expression"
"1622","omnis"
"1623","que"
"1624","ipse"
"1625","consideratioque"
"1626","delectat."
"1627","tum"
"1628","non"
"1629","greek.expression"
"1630","praesertim"
"1631","quoniam"
"1632","ferio"
"1633","sed"
"1634","possum"
"1635","audio"
"1636","an"
"1637","sere"
"1638","sum"
"1639","adhuc"
"1640","greek.expression"
"1641","greek.expression"
"1642","quoniam"
"1643","sum"
